Date;Solar Baseload [MWh];Solar Peakload [MWh];Solar Off-peak [MWh];Wind Baseload [MWh];Wind Peakload [MWh];Wind Off-peak [MWh]
2024-08-10;14059.76;;14059.76;11884.36;;11884.36
2024-08-11;14788.32;;14788.32;5109.52;;5109.52
2024-08-12;15215.48;29738.27;692.69;6280.58;4008.52;8552.65
2024-08-13;14265.15;27905.65;624.65;11452.53;7095.1;15809.96
2024-08-14;11772.01;23001.58;542.44;6093.31;3896.67;8289.96
2024-08-15;12887.68;25302.0;473.35;5236.86;5221.56;5252.17
2024-08-16;12215.25;23893.9;536.6;7819.26;8875.52;6763.0
2024-08-17;10130.59;;10130.59;2112.36;;2112.36
2024-08-18;6026.17;;6026.17;4216.19;;4216.19
2024-08-19;10157.08;20003.23;310.94;4131.23;1563.83;6698.62
2024-08-20;11069.94;21719.15;420.73;9489.28;8187.79;10790.77
2024-08-21;11400.99;22460.79;341.19;21323.95;23795.33;18852.56
2024-08-22;12764.94;25166.58;363.29;17309.91;17298.38;17321.44
2024-08-23;12232.24;24062.12;402.35;25878.7;28731.46;23025.94
2024-08-24;13777.32;;13777.32;15837.49;;15837.49
2024-08-25;9231.77;;9231.77;18004.3;;18004.3
2024-08-26;11625.46;22885.27;365.65;8552.17;7876.56;9227.77
2024-08-27;14134.14;27858.9;409.38;5792.66;4959.15;6626.17
2024-08-28;14371.58;28336.15;407.02;9545.43;6251.94;12838.92
2024-08-29;13492.88;26600.27;385.48;6951.81;4540.75;9362.88
2024-08-30;10595.57;20876.1;315.04;5675.23;5495.44;5855.02
2024-08-31;12727.16;;12727.16;9928.59;;9928.59
2024-09-01;13240.07;;13240.07;13977.44;;13977.44
2024-09-02;11058.88;21839.4;278.35;9928.49;7016.94;12840.04
2024-09-03;11589.55;22908.46;270.65;3630.76;2230.79;5030.73
2024-09-04;9336.34;18411.35;261.33;5382.18;4983.92;5780.44
2024-09-05;11909.92;23552.31;267.52;20382.86;20978.81;19786.92
2024-09-06;9980.05;19753.88;206.23;18545.23;14737.0;22353.46
2024-09-07;12852.23;;12852.23;6870.4;;6870.4
2024-09-08;8836.85;;8836.85;7689.92;;7689.92
2024-09-09;5443.23;10824.9;61.56;12445.39;12313.04;12577.73
2024-09-10;7355.9;14580.5;131.29;25531.57;26641.23;24421.92
2024-09-11;5645.16;11171.23;119.08;19616.99;17160.44;22073.54
2024-09-12;8344.59;16557.58;131.6;6673.69;3954.62;9392.75
2024-09-13;6262.85;12424.31;101.4;14690.61;16204.08;13177.15
2024-09-14;7489.95;;7489.95;18252.08;;18252.08
2024-09-15;9291.2;;9291.2;10526.61;;10526.61
2024-09-16;3607.84;7176.9;38.79;12463.91;13354.9;11572.92
2024-09-17;7786.85;15504.08;69.62;14613.39;13126.21;16100.56
2024-09-18;10510.77;20908.88;112.67;14252.72;12507.92;15997.52
2024-09-19;10467.98;20813.02;122.94;16646.4;15403.88;17888.92
2024-09-20;12078.83;24002.25;155.42;18018.42;15074.5;20962.33
2024-09-21;12278.6;;12278.6;9234.82;;9234.82
2024-09-22;10680.76;;10680.76;3109.47;;3109.47
2024-09-23;7740.67;15386.23;95.1;2744.14;2272.15;3216.12
2024-09-24;5817.89;11593.31;42.46;13720.5;13669.79;13771.21
2024-09-25;5888.54;11691.79;85.29;21258.65;19492.88;23024.42
2024-09-26;2718.3;5417.12;19.48;30315.47;33057.31;27573.62
2024-09-27;6426.47;12764.98;87.96;39443.41;39726.46;39160.35
2024-09-28;7351.35;;7351.35;24219.27;;24219.27
2024-09-29;9592.44;;9592.44;9531.59;;9531.59
2024-09-30;6374.67;12690.58;58.75;26641.09;25080.98;28201.21
2024-10-01;4458.8;8872.79;44.81;21859.62;19534.5;24184.75
2024-10-02;4017.36;8005.29;29.44;14946.76;15105.42;14788.1
2024-10-03;4174.01;8319.83;28.19;14732.74;14626.1;14839.38
2024-10-04;4926.47;9830.27;22.67;7676.06;6512.58;8839.54
2024-10-05;5827.77;;5827.77;3650.84;;3650.84
2024-10-06;6996.88;;6996.88;13469.67;;13469.67
2024-10-07;5306.34;10575.33;37.35;15610.14;12739.62;18480.65
2024-10-08;4447.23;8865.69;28.77;15098.17;14238.46;15957.88
2024-10-09;5704.98;11377.67;32.29;19534.57;20339.21;18729.94
2024-10-10;3553.38;7084.0;22.75;29396.88;32593.94;26199.81
2024-10-11;6620.02;13213.46;26.58;14749.59;13073.1;16426.08
2024-10-12;6569.43;;6569.43;18973.65;;18973.65
2024-10-13;5080.61;;5080.61;35082.93;;35082.93
2024-10-14;4063.34;8100.12;26.56;9441.6;5012.44;13870.77
2024-10-15;5879.8;11740.56;19.04;10284.79;8825.94;11743.65
2024-10-16;6956.33;13878.5;34.17;28770.77;25976.06;31565.48
2024-10-17;6301.96;12579.15;24.77;18335.0;13967.75;22702.25
2024-10-18;4741.61;9467.54;15.69;5142.55;3613.9;6671.21
2024-10-19;3756.66;;3756.66;9818.54;;9818.54
2024-10-20;4728.4;;4728.4;17734.78;;17734.78
2024-10-21;4511.72;9005.65;17.79;17466.2;14123.54;20808.85
2024-10-22;4261.67;8510.08;13.25;15497.15;16530.08;14464.21
2024-10-23;5154.62;10297.08;12.17;6620.23;4372.12;8868.33
2024-10-24;4614.03;9217.56;10.5;11150.71;10231.33;12070.08
2024-10-25;5786.97;11562.58;11.35;7395.81;4883.17;9908.46
2024-10-26;5277.03;;5277.03;6338.39;;6338.39
2024-10-27;3400.21;;3400.21;10824.89;;10824.89
2024-10-28;3724.74;7369.77;79.71;15845.57;18352.15;13339.0
2024-10-29;3607.49;7140.1;74.88;7208.6;6501.5;7915.71
2024-10-30;2654.15;5258.23;50.06;6827.29;6920.96;6733.62
2024-10-31;1920.31;3790.67;49.96;14379.92;15872.62;12887.21
2024-11-01;2666.23;5277.62;54.83;20902.73;20778.5;21026.96
2024-11-02;2987.28;;2987.28;5996.6;;5996.6
2024-11-03;5431.18;;5431.18;6466.39;;6466.39
2024-11-04;3609.1;7182.0;36.21;4626.4;3380.25;5872.54
2024-11-05;3142.55;6242.0;43.1;4477.19;2955.29;5999.08
2024-11-06;1527.88;3030.46;25.29;310.47;99.33;521.6
2024-11-07;944.61;1876.88;12.35;1879.51;1658.96;2100.06
2024-11-08;922.95;1831.73;14.17;11344.03;13728.65;8959.42
2024-11-09;2036.72;;2036.72;4671.44;;4671.44
2024-11-10;1399.03;;1399.03;2539.14;;2539.14
2024-11-11;1166.46;2317.06;15.85;10906.64;12413.94;9399.33
2024-11-12;1284.61;2557.25;11.98;6020.74;5359.58;6681.9
2024-11-13;911.99;1809.81;14.17;7167.97;7044.96;7290.98
2024-11-14;1324.6;2628.6;20.6;16520.38;16645.94;16394.81
2024-11-15;1469.01;2913.92;24.1;11939.83;11757.9;12121.77
2024-11-16;2037.32;;2037.32;24784.9;;24784.9
2024-11-17;1729.78;;1729.78;33450.24;;33450.24
2024-11-18;2228.36;4430.52;26.21;28922.8;28270.31;29575.29
2024-11-19;934.51;1858.79;10.23;23124.82;26623.98;19625.67
2024-11-20;2039.82;4067.15;12.5;23978.02;25821.27;22134.77
2024-11-21;1832.39;3650.42;14.35;21784.69;22977.48;20591.9
2024-11-22;1607.19;3200.33;14.04;31138.84;36787.71;25489.98
2024-11-23;2364.07;;2364.07;31629.28;;31629.28
2024-11-24;2226.01;;2226.01;41254.31;;41254.31
2024-11-25;2612.46;5201.42;23.5;34874.33;35427.98;34320.69
2024-11-26;2375.15;4728.46;21.83;22651.34;21490.83;23811.85
2024-11-27;2555.7;5092.67;18.73;26283.6;27595.08;24972.12
2024-11-28;1452.99;2887.85;18.12;34234.71;34165.56;34303.85
2024-11-29;2611.11;5208.21;14.02;9330.5;7473.31;11187.69
2024-11-30;4565.29;;4565.29;19026.68;;19026.68
2024-12-01;3114.35;;3114.35;16578.82;;16578.82
2024-12-02;1225.96;2444.42;7.5;23165.15;22171.42;24158.88
2024-12-03;1542.94;3079.04;6.83;16862.1;16017.38;17706.83
2024-12-04;1511.88;3016.46;7.29;7344.32;6373.9;8314.75
2024-12-05;2514.84;5021.67;8.02;26533.38;31064.44;22002.31
2024-12-06;1068.92;2130.06;7.77;32467.93;31152.44;33783.42
2024-12-07;784.8;;784.8;27731.22;;27731.22
2024-12-08;1400.06;;1400.06;17732.54;;17732.54
2024-12-09;517.53;1027.65;7.42;30933.79;31877.31;29990.27
2024-12-10;542.45;1078.17;6.73;17468.66;15227.6;19709.71
2024-12-11;544.23;1081.15;7.31;2451.57;2198.56;2704.58
2024-12-12;647.0;1287.65;6.35;1452.88;876.38;2029.38
2024-12-13;1111.12;2215.17;7.08;6105.06;6178.31;6031.81
2024-12-14;840.75;;840.75;21691.24;;21691.24
2024-12-15;1008.99;;1008.99;37697.16;;37697.16
2024-12-16;1057.27;2106.9;7.65;43252.55;43325.1;43180.0
2024-12-17;1133.84;2260.1;7.58;26848.18;24058.6;29637.75
2024-12-18;1371.51;2736.02;7.0;38731.51;43768.19;33694.83
2024-12-19;827.76;1648.31;7.21;42393.3;43529.6;41257.0
2024-12-20;1669.88;3331.12;8.62;35931.67;33770.62;38092.71
2024-12-21;1263.07;;1263.07;42208.2;;42208.2
2024-12-22;907.56;;907.56;33889.56;;33889.56
2024-12-23;1318.4;2630.42;6.38;31821.84;34475.46;29168.23
2024-12-24;1412.17;2817.62;6.71;12751.74;11422.83;14080.65
2024-12-25;2045.24;4083.52;6.96;8786.06;7508.81;10063.31
2024-12-26;2193.19;4379.5;6.88;4331.59;3668.94;4994.25
2024-12-27;2562.46;5118.0;6.92;2077.74;1363.77;2791.71
2024-12-28;2558.02;;2558.02;2247.64;;2247.64
2024-12-29;1656.9;;1656.9;14781.02;;14781.02
2024-12-30;958.75;1911.17;6.33;24813.92;25338.27;24289.56
2024-12-31;2047.64;4088.69;6.58;24934.59;24994.42;24874.77
2025-01-01;2368.84;4727.5;10.19;40591.97;42399.85;38784.08
2025-01-02;1229.42;2451.88;6.96;26606.22;20226.79;32985.65
2025-01-03;1276.29;2543.29;9.29;32364.84;35565.33;29164.35
2025-01-04;1153.45;;1153.45;13187.5;;13187.5
2025-01-05;380.29;;380.29;25217.74;;25217.74
2025-01-06;1684.07;3359.75;8.4;43736.27;46749.44;40723.1
2025-01-07;1972.74;3935.5;9.98;40249.58;39692.08;40807.08
2025-01-08;1369.2;2730.15;8.25;27716.74;26303.33;29130.15
2025-01-09;1256.35;2505.98;6.73;18030.4;16982.85;19077.94
2025-01-10;1684.72;3361.44;8.0;25685.34;23886.04;27484.65
2025-01-11;2173.99;;2173.99;23525.94;;23525.94
2025-01-12;2712.72;;2712.72;11665.82;;11665.82
2025-01-13;3510.14;7011.06;9.21;11918.62;13556.1;10281.15
2025-01-14;2895.7;5782.65;8.75;24071.11;24955.52;23186.71
2025-01-15;956.11;1903.56;8.67;7583.53;3678.79;11488.27
2025-01-16;1907.33;3808.46;6.21;8751.8;10208.42;7295.19
2025-01-17;1420.54;2834.04;7.04;6380.07;6002.4;6757.75
2025-01-18;2953.83;;2953.83;3432.51;;3432.51
2025-01-19;4482.94;;4482.94;5658.29;;5658.29
2025-01-20;3186.64;6363.92;9.35;4999.79;3484.4;6515.19
2025-01-21;3022.89;6039.25;6.52;7039.97;6651.6;7428.33
2025-01-22;2739.15;5469.98;8.31;13526.45;14897.21;12155.69
2025-01-23;1401.58;2795.33;7.83;31183.1;34448.23;27917.98
2025-01-24;2612.99;5216.33;9.65;37841.35;40675.25;35007.46
2025-01-25;2252.48;;2252.48;23777.73;;23777.73
2025-01-26;2257.28;;2257.28;17238.89;;17238.89
2025-01-27;1923.29;3837.65;8.94;38320.92;38538.83;38103.0
2025-01-28;1864.66;3721.0;8.31;25637.83;21487.62;29788.04
2025-01-29;2767.5;5526.48;8.52;31326.03;33850.73;28801.33
2025-01-30;2912.9;5815.4;10.4;15501.0;11127.83;19874.17
2025-01-31;3727.83;7443.52;12.15;15280.99;13762.44;16799.54
2025-02-01;5205.54;;5205.54;4588.65;;4588.65
2025-02-02;5298.42;;5298.42;2681.77;;2681.77
2025-02-03;4571.21;9130.1;12.31;3627.78;3005.88;4249.69
2025-02-04;3954.58;7898.17;11.0;11777.33;11671.38;11883.29
2025-02-05;2974.43;5939.48;9.38;13059.17;10458.96;15659.38
2025-02-06;1698.09;3388.17;8.02;9006.34;8129.31;9883.38
2025-02-07;3041.65;6072.67;10.62;33476.8;34932.1;32021.5
2025-02-08;6453.21;;6453.21;21385.82;;21385.82
2025-02-09;5103.23;;5103.23;13008.5;;13008.5
2025-02-10;3551.76;7086.44;17.08;25825.73;26100.35;25551.1
2025-02-11;2970.05;5900.9;39.21;26253.8;23243.48;29264.12
2025-02-12;2624.69;5227.73;21.65;17070.08;16099.79;18040.38
2025-02-13;1196.54;2381.9;11.19;8700.01;9163.04;8236.98
2025-02-14;1166.21;2322.4;10.02;4260.05;2438.65;6081.46
2025-02-15;2529.5;;2529.5;2084.07;;2084.07
2025-02-16;4066.92;;4066.92;10090.76;;10090.76
2025-02-17;7807.0;15566.6;47.4;4905.76;3360.81;6450.71
2025-02-18;8857.45;17664.31;50.58;11205.09;9862.9;12547.29
2025-02-19;8871.56;17669.02;74.1;25012.45;23763.71;26261.19
2025-02-20;5475.78;10889.65;61.92;23227.89;19836.96;26618.81
2025-02-21;6671.08;13294.44;47.73;22566.62;19697.71;25435.54
2025-02-22;5891.65;;5891.65;24768.64;;24768.64
2025-02-23;5763.01;;5763.01;15371.54;;15371.54
2025-02-24;4850.47;9618.27;82.67;29933.25;31645.92;28220.58
2025-02-25;4699.24;9350.04;48.44;7733.68;4582.65;10884.71
2025-02-26;2779.31;5520.98;37.65;8331.15;7433.23;9229.06
2025-02-27;4655.99;9230.65;81.33;10010.24;7032.0;12988.48
2025-02-28;3646.38;7230.38;62.38;6738.28;6524.73;6951.83
2025-03-01;4756.45;;4756.45;5631.03;;5631.03
2025-03-02;9802.14;;9802.14;11090.12;;11090.12
2025-03-03;11447.23;22551.58;342.88;14471.91;13240.54;15703.27
2025-03-04;11074.43;21734.04;414.81;13683.98;12491.38;14876.58
2025-03-05;11552.5;22777.48;327.52;20444.84;18183.1;22706.58
2025-03-06;11812.28;23280.25;344.31;13261.55;8807.33;17715.77
2025-03-07;11599.91;22857.69;342.12;6619.82;3896.44;9343.21
2025-03-08;11576.89;;11576.89;8590.45;;8590.45
2025-03-09;11479.71;;11479.71;8389.33;;8389.33
2025-03-10;8189.1;16048.77;329.44;4261.41;4198.42;4324.4
2025-03-11;6540.02;12849.69;230.35;4822.83;3893.92;5751.75
2025-03-12;3820.05;7485.54;154.56;4243.94;3442.83;5045.04
2025-03-13;4772.62;9363.12;182.12;5229.19;5446.29;5012.08
2025-03-14;4933.86;9706.42;161.31;6060.94;5585.35;6536.52
2025-03-15;6653.7;;6653.7;12858.52;;12858.52
2025-03-16;9761.07;;9761.07;12299.84;;12299.84
2025-03-17;11219.18;21938.6;499.75;15053.8;11173.83;18933.77
2025-03-18;14235.95;27705.19;766.71;9340.19;6715.04;11965.33
2025-03-19;14000.09;27196.48;803.71;4891.3;2091.9;7690.71
2025-03-20;13098.78;25475.1;722.46;5021.16;2817.17;7225.15
2025-03-21;12364.27;23953.56;774.98;17439.56;18506.5;16372.62
2025-03-22;10895.96;;10895.96;28670.01;;28670.01
2025-03-23;7690.42;;7690.42;16174.1;;16174.1
2025-03-24;7464.57;14610.42;318.73;2560.1;2127.25;2992.96
2025-03-25;8287.35;16171.83;402.88;10505.33;11240.98;9769.69
2025-03-26;4650.08;9023.15;277.02;11367.09;10444.88;12289.31
2025-03-27;10612.99;20691.85;534.12;8501.94;7601.06;9402.81
2025-03-28;13964.27;26949.73;978.81;9407.9;6817.88;11997.92
2025-03-29;8387.51;;8387.51;11768.52;;11768.52
2025-03-30;6775.25;;6775.25;31482.62;;31482.62
2025-03-31;6553.92;13040.12;67.71;17835.46;14672.79;20998.12
2025-04-01;11311.42;22471.73;151.1;12991.53;12792.08;13190.98
2025-04-02;13537.31;26875.44;199.19;21620.36;17995.25;25245.48
2025-04-03;15453.95;30641.29;266.6;13223.84;7267.25;19180.44
2025-04-04;15539.47;30790.52;288.42;6093.36;3794.44;8392.29
2025-04-05;13674.29;;13674.29;15885.71;;15885.71
2025-04-06;14884.79;;14884.79;11488.1;;11488.1
2025-04-07;14925.58;29533.38;317.79;7544.98;6316.54;8773.42
2025-04-08;14608.36;28894.79;321.94;2706.36;1417.0;3995.73
2025-04-09;12203.17;24133.85;272.48;9630.36;9782.94;9477.79
2025-04-10;12311.06;24402.65;219.48;11876.47;8343.04;15409.9
2025-04-11;13509.74;26694.79;324.69;18999.91;17463.19;20536.62
2025-04-12;15371.62;;15371.62;7589.59;;7589.59
2025-04-13;8418.21;;8418.21;21979.34;;21979.34
2025-04-14;12725.65;25157.5;293.79;6766.3;3683.71;9848.9
2025-04-15;10889.62;21369.77;409.48;21323.9;20459.25;22188.54
2025-04-16;11330.8;22204.15;457.46;9375.09;6680.0;12070.19
2025-04-17;6800.0;13352.65;247.35;16001.08;14956.81;17045.35
2025-04-18;3812.49;7500.71;124.27;10005.45;8849.12;11161.77
2025-04-19;11502.59;;11502.59;4633.41;;4633.41
2025-04-20;13192.62;;13192.62;5139.31;;5139.31
2025-04-21;10037.47;19729.71;345.23;2980.99;2570.19;3391.79
2025-04-22;10669.05;20873.25;464.85;3200.1;2763.65;3636.56
2025-04-23;11271.17;21981.46;560.88;4482.82;3849.54;5116.1
2025-04-24;6897.86;13474.77;320.96;9570.35;8019.58;11121.12
2025-04-25;8491.17;16710.85;271.48;5659.01;4135.75;7182.27
2025-04-26;14581.02;;14581.02;10044.88;;10044.88
2025-04-27;16022.0;;16022.0;8968.05;;8968.05
2025-04-28;17295.85;33718.4;873.31;2667.53;1730.6;3604.46
2025-04-29;16861.76;32868.02;855.5;4509.2;3000.42;6017.98
2025-04-30;16917.44;32959.29;875.58;2929.44;1708.9;4149.98
2025-05-01;16561.39;32184.15;938.62;3108.81;1350.75;4866.88
2025-05-02;14905.62;28913.54;897.71;10481.88;9489.9;11473.85
2025-05-03;10195.91;;10195.91;11438.98;;11438.98
2025-05-04;8941.97;;8941.97;18774.92;;18774.92
2025-05-05;10893.22;21100.48;685.96;12585.82;11366.06;13805.58
2025-05-06;14473.62;28031.35;915.9;11996.57;12033.96;11959.19
2025-05-07;13630.66;26315.02;946.29;8149.57;6848.75;9450.4
2025-05-08;12971.8;25123.19;820.42;7979.48;6904.79;9054.17
2025-05-09;17418.82;33675.9;1161.75;6093.41;5635.79;6551.02
2025-05-10;16765.97;;16765.97;5026.64;;5026.64
2025-05-11;17043.93;;17043.93;10366.25;;10366.25
2025-05-12;18335.6;35416.48;1254.73;15664.82;11040.9;20288.75
2025-05-13;18386.66;35495.88;1277.44;7628.42;4091.5;11165.33
2025-05-14;17312.67;33370.4;1254.94;11887.96;12062.29;11713.62
2025-05-15;15387.4;29621.75;1153.04;16751.93;16990.83;16513.02
2025-05-16;14301.06;27439.31;1162.81;13713.14;14300.56;13125.71
2025-05-17;12477.36;;12477.36;13696.12;;13696.12
2025-05-18;12391.6;;12391.6;10490.31;;10490.31
2025-05-19;14812.07;28494.75;1129.4;5508.15;4557.42;6458.88
2025-05-20;16304.8;31245.42;1364.19;6163.78;5583.12;6744.44
2025-05-21;13664.51;26205.58;1123.44;19301.98;20256.17;18347.79
2025-05-22;10986.57;21105.54;867.6;24179.23;26150.71;22207.75
2025-05-23;13917.75;26498.1;1337.4;17688.18;18160.4;17215.96
2025-05-24;13933.35;;13933.35;16285.99;;16285.99
2025-05-25;6858.98;;6858.98;23269.76;;23269.76
2025-05-26;13656.74;26213.56;1099.92;15703.44;16499.17;14907.71
2025-05-27;10602.94;20068.96;1136.92;22995.81;25051.71;20939.92
2025-05-28;7838.46;15157.79;519.12;23889.14;23299.96;24478.31
2025-05-29;12467.71;23709.1;1226.31;13364.3;11655.0;15073.6
2025-05-30;15079.73;29040.81;1118.65;19008.6;17949.52;20067.69
2025-05-31;15650.59;;15650.59;3297.49;;3297.49
2025-06-01;11848.58;;11848.58;12782.85;;12782.85
2025-06-02;11353.9;21533.08;1174.71;9377.98;9848.52;8907.44
2025-06-03;15285.22;29240.17;1330.27;10493.81;12782.12;8205.5
2025-06-04;10490.45;19788.06;1192.83;15982.82;15819.71;16145.94
2025-06-05;10586.03;20087.1;1084.96;16847.16;19962.12;13732.19
2025-06-06;11565.82;22295.79;835.85;29244.03;30692.06;27796.0
2025-06-07;9422.49;;9422.49;14424.71;;14424.71
2025-06-08;10145.64;;10145.64;23589.38;;23589.38
2025-06-09;15089.33;28687.21;1491.46;13856.9;9865.17;17848.62
2025-06-10;11182.82;21078.48;1287.17;24474.93;27863.12;21086.73
2025-06-11;17316.31;33142.08;1490.54;12204.73;7865.02;16544.44
2025-06-12;19111.94;36387.98;1835.9;13274.61;10102.08;16447.15
2025-06-13;19227.81;36660.67;1794.96;18967.1;12537.83;25396.38
2025-06-14;17558.41;;17558.41;14879.39;;14879.39
2025-06-15;11336.52;;11336.52;9804.99;;9804.99
2025-06-16;14038.38;26834.65;1242.1;12240.1;11801.1;12679.1
2025-06-17;18340.15;34894.92;1785.38;5158.2;5246.23;5070.17
2025-06-18;17675.22;33597.08;1753.35;6964.2;7394.94;6533.46
2025-06-19;17709.1;33667.5;1750.71;12031.43;11683.17;12379.69
2025-06-20;20024.22;38205.54;1842.9;4623.32;1936.0;7310.65
2025-06-21;18555.09;;18555.09;3251.3;;3251.3
2025-06-22;16920.92;;16920.92;9595.54;;9595.54
2025-06-23;12625.3;23914.12;1336.48;28034.7;31812.19;24257.21
2025-06-24;14138.22;26770.04;1506.4;27874.92;28263.65;27486.19
2025-06-25;16227.5;30986.94;1468.06;17336.49;16477.08;18195.9
2025-06-26;12397.28;23471.73;1322.83;15804.43;17218.62;14390.23
2025-06-27;10176.35;19138.27;1214.44;20296.1;19387.6;21204.6
2025-06-28;15791.65;;15791.65;17204.03;;17204.03
2025-06-29;16536.83;;16536.83;13577.32;;13577.32
2025-06-30;19019.55;36342.29;1696.81;5559.78;2229.31;8890.25
2025-07-01;18229.33;34812.2;1646.45;5936.5;1333.91;10539.09
2025-07-02;17235.26;32931.56;1538.96;9506.95;4737.67;14276.22
2025-07-03;13483.7;25861.67;1105.72;16045.69;15241.64;16849.73
2025-07-04;17208.75;33002.04;1415.45;7672.87;8417.71;6928.03
2025-07-05;15026.15;;15026.15;16734.1;;16734.1
2025-07-06;10179.97;;10179.97;12861.68;;12861.68
2025-07-07;10172.62;19601.14;744.11;11523.68;12508.57;10538.78
2025-07-08;11428.54;21860.3;996.79;16131.7;16219.48;16043.91
2025-07-09;11720.08;22356.28;1083.88;11657.13;12441.41;10872.84
2025-07-10;14964.52;28632.69;1296.34;5447.34;5776.62;5118.05
2025-07-11;13515.91;25878.78;1153.04;10303.33;11862.82;8743.84
2025-07-12;10457.72;;10457.72;10411.83;;10411.83
2025-07-13;13390.92;;13390.92;4578.48;;4578.48
2025-07-14;11849.58;22485.63;1213.53;5166.3;6512.62;3819.98
2025-07-15;11416.5;21841.96;991.05;10212.71;12459.95;7965.48
2025-07-16;10844.82;20735.92;953.72;10032.98;10025.42;10040.54
2025-07-17;10791.37;20694.37;888.37;13683.22;15988.45;11377.98
2025-07-18;13853.84;26763.73;943.94;1628.6;804.79;2452.41
2025-07-19;16552.21;;16552.21;5989.94;;5989.94
2025-07-20;14507.55;;14507.55;8312.7;;8312.7
2025-07-21;6853.36;13200.38;506.33;8346.66;7309.97;9383.35
2025-07-22;10751.76;20761.43;742.1;16042.39;16849.99;15234.79
2025-07-23;12011.32;23242.95;779.69;22301.73;23356.12;21247.34
2025-07-24;10087.94;19499.36;676.53;4007.06;3243.46;4770.66
2025-07-25;10734.5;20765.28;703.72;5369.44;6159.48;4579.39
2025-07-26;10269.94;;10269.94;2832.76;;2832.76
2025-07-27;10163.19;;10163.19;4648.05;;4648.05
2025-07-28;9759.48;18974.78;544.18;13425.6;14945.21;11906.0
2025-07-29;12487.6;24241.32;733.87;16883.4;16747.8;17019.0
2025-07-30;10460.61;20229.1;692.12;17604.81;18729.03;16480.59
2025-07-31;9533.25;18458.53;607.98;17814.78;18796.54;16833.02
2025-08-01;11008.39;21447.6;569.17;8922.52;9549.3;8295.75
2025-08-02;10550.35;;10550.35;11937.13;;11937.13
2025-08-03;8942.51;;8942.51;16650.91;;16650.91
2025-08-04;10043.88;19693.81;393.96;18883.72;15213.53;22553.91
2025-08-05;10470.94;20394.11;547.78;24579.31;22574.78;26583.85
2025-08-06;14919.28;28914.86;923.69;15415.69;13096.6;17734.79
2025-08-07;15938.35;31098.66;778.04;6778.15;7370.68;6185.61
2025-08-08;14563.61;28385.92;741.29;7987.2;8803.01;7171.39
2025-08-09;15312.14;;15312.14;5300.74;;5300.74
2025-08-10;15901.82;;15901.82;9392.68;;9392.68
2025-08-11;17686.31;34564.45;808.17;3317.61;1748.9;4886.32
2025-08-12;15664.6;30570.99;758.22;6661.68;4464.15;8859.21
2025-08-13;16031.1;31374.64;687.55;6277.05;2798.39;9755.72
2025-08-14;15113.75;29550.28;677.22;4102.38;2848.69;5356.08
2025-08-15;15089.85;29570.69;609.02;8612.82;8485.44;8740.2
2025-08-16;11165.24;;11165.24;15340.61;;15340.61
2025-08-17;13255.43;;13255.43;6917.19;;6917.19
2025-08-18;17195.47;33734.15;656.8;2488.7;1716.82;3260.58
2025-08-19;16846.55;33056.7;636.41;4696.71;4135.26;5258.16
2025-08-20;12706.84;24897.5;516.17;7703.06;6964.38;8441.75
2025-08-21;11898.11;23362.35;433.87;12063.52;12947.3;11179.74
2025-08-22;10559.49;20716.91;402.06;16617.22;18116.84;15117.59
2025-08-23;10185.57;;10185.57;15801.22;;15801.22
2025-08-24;12343.91;;12343.91;8523.45;;8523.45
2025-08-25;14136.45;27786.72;486.17;5997.49;6069.7;5925.28
2025-08-26;15081.5;29669.91;493.09;4746.41;3311.83;6181.0
2025-08-27;11790.95;23302.49;279.41;9460.94;7814.95;11106.92
2025-08-28;5946.83;11667.96;225.7;4929.69;4602.6;5256.79
2025-08-29;10999.63;21808.13;191.13;8266.02;7506.72;9025.32
2025-08-30;11365.44;;11365.44;9927.21;;9927.21
2025-08-31;12823.51;;12823.51;10968.98;;10968.98
2025-09-01;8579.92;16809.04;350.8;9554.87;7005.07;12104.67
2025-09-02;9417.02;18675.44;158.6;7931.58;7911.58;7951.58
2025-09-03;11382.79;22433.71;331.86;24179.06;24488.78;23869.34
2025-09-04;11376.73;22440.2;313.26;16450.04;11973.12;20926.96
2025-09-05;8599.84;17030.77;168.9;9539.26;9892.67;9185.85
2025-09-06;14627.91;;14627.91;3497.6;;3497.6
2025-09-07;13522.69;;13522.69;15801.17;;15801.17
2025-09-08;10036.74;19761.97;311.51;9602.24;5142.35;14062.13
2025-09-09;6814.76;13410.18;219.34;4338.11;4704.17;3972.04
2025-09-10;6793.12;13433.53;152.72;4018.91;2607.49;5430.33
2025-09-11;9073.79;17967.57;180.01;23243.2;25124.63;21361.76
2025-09-12;9844.36;19477.0;211.72;24479.04;23750.21;25207.86
2025-09-13;10217.39;;10217.39;19735.05;;19735.05
2025-09-14;9913.33;;9913.33;12464.36;;12464.36
2025-09-15;9418.8;18730.54;107.07;36892.94;35898.38;37887.5
2025-09-16;8034.79;15932.74;136.84;39373.76;38151.14;40596.38
2025-09-17;8378.89;16594.43;163.36;27123.88;24558.98;29688.78
2025-09-18;10307.43;20497.83;117.02;27350.76;25403.89;29297.63
2025-09-19;13019.32;25870.6;168.03;14985.11;10210.7;19759.52
2025-09-20;12110.89;;12110.89;19099.39;;19099.39
2025-09-21;7063.58;;7063.58;23641.54;;23641.54
2025-09-22;5113.22;10165.41;61.03;17247.36;18036.0;16458.72
