germany_solar_gen_last_week;germany_wind_gen_last_week
840.25;8935.0
650.0;9027.0
471.25;9020.5
309.5;8980.75
185.0;8885.5
97.75;8906.0
41.75;8775.0
11.75;8880.75
3.0;9118.0
1.75;9162.0
1.25;9150.75
1.25;9225.0
1.25;9305.25
1.25;9386.0
1.0;9456.5
1.0;9580.5
1.0;9389.25
1.0;9491.75
1.0;9256.0
1.0;9251.75
0.75;9312.25
1.0;9151.75
1.0;9193.25
1.0;9309.5
1.0;9234.5
1.0;9048.0
1.0;8931.5
1.0;9066.25
1.0;8969.25
1.0;8801.25
1.0;9143.25
1.0;9284.75
1.0;9166.0
1.0;9055.5
2.0;9113.25
1.0;9082.5
1.0;9065.75
0.75;9084.0
1.0;8687.75
1.0;8637.75
1.0;8552.5
1.0;8494.75
1.0;8371.25
1.0;8044.25
1.0;7975.25
1.0;7922.0
1.0;7966.75
1.0;7896.25
1.0;8028.25
1.0;8036.75
1.0;7943.5
0.75;7924.75
1.0;7957.75
1.0;8016.25
1.0;7796.25
1.0;7803.25
1.0;7884.5
1.0;7950.75
1.0;8256.5
1.0;8439.5
1.0;8476.75
1.25;8605.25
1.25;8865.5
1.25;8971.0
1.25;8929.25
1.25;9043.25
1.25;9338.75
1.5;9533.0
1.75;9511.0
2.0;9511.5
6.25;9472.25
28.25;9696.75
105.25;9731.25
207.75;9668.5
332.75;9591.0
471.0;9599.75
627.75;9525.75
778.0;9526.0
929.0;9410.5
1080.25;9343.25
1259.75;9269.0
1420.5;9211.75
1529.75;9250.0
1585.25;9328.75
1641.75;9566.5
1671.25;9512.5
1771.75;9601.5
1800.5;9626.75
1805.25;9731.75
1718.25;9739.5
1622.25;9782.0
1508.0;9790.0
1392.25;9752.25
1251.25;9830.25
1093.0;10005.5
936.75;10057.5
761.5;9942.5
609.5;9948.0
452.5;9886.25
307.75;9701.0
184.5;9705.75
91.5;9698.25
34.75;9470.0
7.75;9411.25
1.75;9415.75
1.5;9239.25
1.25;9101.25
1.25;9050.25
1.0;9090.5
2.25;9026.0
2.25;8886.75
1.0;8816.0
1.0;8843.0
1.0;8840.0
2.25;8742.75
1.5;8735.25
1.0;8745.25
1.0;8747.5
1.0;8550.25
1.0;8522.25
1.0;8505.5
1.0;8527.5
1.0;8688.0
1.0;8767.5
1.0;8743.75
1.0;8641.0
1.0;8516.0
1.0;8626.75
1.0;8659.75
1.0;8593.75
1.0;8579.0
1.0;8686.5
1.0;8622.75
1.0;8527.75
1.0;8316.25
0.75;8357.0
0.75;8389.75
1.0;8245.25
1.0;7850.5
1.0;7744.75
1.0;7685.0
1.0;7536.5
1.0;7322.25
1.0;7143.75
1.0;7095.75
1.0;7053.75
1.0;6693.75
1.0;6666.5
1.0;6643.25
1.0;6516.0
1.0;6607.0
1.0;6650.75
1.0;6667.0
1.0;6647.5
1.0;6999.25
1.0;7001.5
1.0;6892.25
1.0;6995.25
1.25;7229.5
1.25;7099.5
1.25;7167.0
1.25;7185.5
1.25;7044.75
1.25;7090.25
1.5;7072.25
1.75;7255.5
3.0;7261.0
18.75;7252.5
127.25;7227.75
334.25;7234.25
597.25;7102.75
878.25;7041.0
1171.25;6998.5
1434.0;6923.5
1732.75;6794.75
2007.75;6783.0
2246.25;6724.0
2463.75;6628.0
2664.75;6785.75
2806.25;6843.0
2902.0;6747.0
2936.5;6710.0
2938.25;6936.0
2868.25;7091.0
2729.75;7267.0
2573.0;7340.0
2392.5;7519.25
2180.0;7636.5
1938.5;7707.75
1644.0;7825.0
1345.75;7964.5
1081.75;8216.25
843.25;8477.25
607.25;8706.0
408.0;8927.25
249.75;9174.0
128.75;9543.75
50.75;9795.0
12.75;9983.0
2.25;10216.75
1.5;10485.75
1.75;10577.75
1.25;10519.75
1.25;10631.75
1.25;10746.5
1.25;10888.75
1.5;10972.25
1.0;11102.25
1.5;11041.75
1.0;10942.5
2.0;10942.0
1.0;10911.5
