day;gas_price
2023-10-11;47.21
2023-10-12;49.63
2023-10-13;53.79
2023-10-14;53.98
2023-10-15;54.72
2023-10-16;51.1
2023-10-17;47.94
2023-10-18;50.21
2023-10-19;47.29
2023-10-20;48.44
2023-10-21;49.1
2023-10-22;49.39
2023-10-23;49.77
2023-10-24;51.64
2023-10-25;51.43
2023-10-26;51.08
2023-10-27;50.96
2023-10-28;50.74
2023-10-29;50.97
2023-10-30;51.6
2023-10-31;43.15
2023-11-01;43.78
2023-11-02;39.02
2023-11-03;41.56
2023-11-04;41.36
2023-11-05;44.41
2023-11-06;44.45
2023-11-07;44.35
2023-11-08;45.22
2023-11-09;46.05
2023-11-10;44.35
2023-11-11;45.32
2023-11-12;45.15
2023-11-13;43.97
2023-11-14;45.76
2023-11-15;48.53
2023-11-16;48.4
2023-11-17;46.69
2023-11-18;46.57
2023-11-19;44.4
2023-11-20;47.77
2023-11-21;47.21
2023-11-22;46.91
2023-11-23;47.92
2023-11-24;49.48
2023-11-25;49.91
2023-11-26;50.72
2023-11-27;48.21
2023-11-28;46.58
2023-11-29;45.77
2023-11-30;44.68
2023-12-01;44.07
2023-12-02;47.58
2023-12-03;47.15
2023-12-04;45.24
2023-12-05;43.5
2023-12-06;41.64
2023-12-07;41.9
2023-12-08;41.78
2023-12-09;40.95
2023-12-10;40.04
2023-12-11;37.49
2023-12-12;37.33
2023-12-13;36.73
2023-12-14;36.64
2023-12-15;35.66
2023-12-16;33.44
2023-12-17;32.79
2023-12-18;35.04
2023-12-19;35.75
2023-12-20;34.83
2023-12-21;35.66
2023-12-22;35.68
2023-12-23;35.79
2023-12-24;35.88
2023-12-25;30.69
2023-12-26;31.1
2023-12-27;35.34
2023-12-28;35.3
2023-12-29;33.09
2023-12-30;28.52
2023-12-31;30.99
2024-01-01;33.11
2024-01-02;32.38
2024-01-03;33.56
2024-01-04;34.77
2024-01-05;35.98
2024-01-06;36.81
2024-01-07;36.69
2024-01-08;35.33
2024-01-09;34.65
2024-01-10;33.69
2024-01-11;33.53
2024-01-12;33.78
2024-01-13;34.51
2024-01-14;34.72
2024-01-15;33.15
2024-01-16;32.8
2024-01-17;31.76
2024-01-18;30.96
2024-01-19;31.29
2024-01-20;31.41
2024-01-21;31.41
2024-01-22;30.22
2024-01-23;29.81
2024-01-24;30.35
2024-01-25;30.68
2024-01-26;29.87
2024-01-27;29.72
2024-01-28;30.88
2024-01-29;31.42
2024-01-30;31.07
2024-01-31;32.95
2024-02-01;34.94
2024-02-02;31.42
2024-02-03;31.24
2024-02-04;31.43
2024-02-05;30.12
2024-02-06;30.82
2024-02-07;31.2
2024-02-08;30.42
2024-02-09;29.47
2024-02-10;28.74
2024-02-11;27.54
2024-02-12;28.28
2024-02-13;28.05
2024-02-14;26.64
2024-02-15;26.95
2024-02-16;26.65
2024-02-17;26.56
2024-02-18;26.32
2024-02-19;26.18
2024-02-20;25.96
2024-02-21;26.24
2024-02-22;25.63
2024-02-23;25.34
2024-02-24;24.45
2024-02-25;24.77
2024-02-26;25.46
2024-02-27;26.08
2024-02-28;26.14
2024-02-29;27.21
2024-03-01;27.5
2024-03-02;28.01
2024-03-03;27.42
2024-03-04;27.68
2024-03-05;29.63
2024-03-06;29.43
2024-03-07;28.64
2024-03-08;28.73
2024-03-09;28.41
2024-03-10;29.27
2024-03-11;27.69
2024-03-12;27.13
2024-03-13;26.87
2024-03-14;27.17
2024-03-15;27.81
2024-03-16;28.93
2024-03-17;29.81
2024-03-18;30.72
2024-03-19;30.53
2024-03-20;30.18
2024-03-21;29.13
2024-03-22;28.79
2024-03-23;28.69
2024-03-24;29.26
2024-03-25;30.48
2024-03-26;29.89
2024-03-27;29.29
2024-03-28;29.11
2024-03-29;29.34
2024-03-30;28.87
2024-03-31;27.4
2024-04-01;28.73
2024-04-02;29.12
2024-04-03;27.93
2024-04-04;28.13
2024-04-05;28.32
2024-04-06;28.45
2024-04-07;28.81
2024-04-08;29.47
2024-04-09;30.18
2024-04-10;29.58
2024-04-11;30.12
2024-04-12;31.51
2024-04-13;34.07
2024-04-14;32.88
2024-04-15;32.72
2024-04-16;34.98
2024-04-17;34.74
2024-04-18;34.18
2024-04-19;34.15
2024-04-20;33.38
