"DateTime","Cena [EUR/t]"
"04.01.2024",75.82
"05.01.2024",76.35
"08.01.2024",72.42
"09.01.2024",71.94
"10.01.2024",69.99
"11.01.2024",67.92
"12.01.2024",65.81
"15.01.2024",67.25
"16.01.2024",65.59
"17.01.2024",63.15
"18.01.2024",63.01
"19.01.2024",63.65
"22.01.2024",62.04
"23.01.2024",63.05
"24.01.2024",65.82
"25.01.2024",63.21
"26.01.2024",63.58
"29.01.2024",61.78
"30.01.2024",63.51
"31.01.2024",64.16
"01.02.2024",62.19
"02.02.2024",63.4
"05.02.2024",62.67
"06.02.2024",63.58
"07.02.2024",62.41
"08.02.2024",60.78
"09.02.2024",58.79
"12.02.2024",56.89
"13.02.2024",56.43
"14.02.2024",56.63
"15.02.2024",57.91
"16.02.2024",57.17
"19.02.2024",53.54
"20.02.2024",54.31
"21.02.2024",54.55
"22.02.2024",52.8
"23.02.2024",52.22
"26.02.2024",53.97
"27.02.2024",55.68
"28.02.2024",57.84
"29.02.2024",56
"01.03.2024",56.37
"04.03.2024",57.03
"05.03.2024",60.54
"06.03.2024",59.23
"07.03.2024",59.16
"08.03.2024",58.39
"11.03.2024",56.21
"12.03.2024",56.51
"13.03.2024",56.04
"14.03.2024",58.45
"15.03.2024",59.39
"18.03.2024",61.43
"19.03.2024",60.84
"20.03.2024",60.62
"21.03.2024",59.07
"22.03.2024",61.51
"25.03.2024",65
"26.03.2024",62.28
"27.03.2024",62.43
"28.03.2024",61.8
"01.04.2024",61.8
"02.04.2024",58.72
"03.04.2024",57.41
"04.04.2024",58.5
"05.04.2024",60.58
"08.04.2024",63.51
"09.04.2024",64.07
"10.04.2024",62.87
"11.04.2024",68.03
"12.04.2024",71.55
"15.04.2024",70.55
"16.04.2024",73.62
"17.04.2024",69.98
"18.04.2024",71.53
"19.04.2024",68.81
"22.04.2024",66.33
"23.04.2024",65.67
"24.04.2024",66.47
"25.04.2024",68.39
"26.04.2024",66.92
"29.04.2024",65.49
"30.04.2024",68.52
"01.05.2024",67.82
"02.05.2024",72.51
"03.05.2024",72.01
"06.05.2024",73.2
"07.05.2024",70.98
"08.05.2024",71.69
"09.05.2024",73.26
"10.05.2024",71.91
"13.05.2024",69.81
"14.05.2024",70.22
"15.05.2024",69.46
"16.05.2024",70.1
"17.05.2024",70.69
"20.05.2024",74.22
